Review Title,Review Text,wordcount,titleSentiment,textSentiment,Star Rating,sentimentValue
Sin conexión,"Hola desde hace algo más de un mes me pone sin conexión y no sale nada, antes me funcionaba correctamente.",23,0,0,1,-0.4863892549767946
faltan cosas,Han mejorado la apariencia pero no,20,0,0,1,-0.5861874727339228
Esta bien,Sin ser la biblia.... Esta bien,6,0,0,1,-0.6517836008462109
Buena,Nada del otro mundo pero han mejorado mucho,8,1,0,1,-0.7204429256151285
De gran ayuda,"Lo malo q necesita de …,pero la app es muy buena",23,1,0,1,-0.7268254087888714
Muy buena,"Estaba más acostumbrado al otro diseño, pero es cosa de acostunbrarse .. la aplicación es escépcional",16,1,0,1,-0.7367694709092752
Ta to guapa.,Va de escándalo,21,1,0,1,-0.765283702598727
Se han corregido,Han corregido muchos fallos pero el diseño es contrario al pedido por Google,13,0,0,1,-0.7979612300412889
Parece que va mejor.,No se cuelga tanto,4,1,0,1,-0.8334875979937725
Dice q hay una nueva versión?,Xq no me sale la opción de actualizarla entonces?,9,0,0,1,-0.8384665315151861
Útil,Falta opción,4,1,0,1,-0.8885590350462715
Me indica una nueva version,"Dice que existe una nueva version, pero no sale actualizacion, e probado a borrarla y volver a instalarla, pero el mensaje sigue apareciendo",23,0,0,1,-1.002696144743075
No me funciona,Mui buena pero a veces no acen,14,0,0,1,-1.0832692852163408
Hay que mejorar,"No funcionan las notificaciones, y deberían… Por lo demás correcto",20,1,0,1,-1.0981097654004746
Muy bien ..pero,…,26,0,0,1,-1.1044687905632284
No va,Pero esta bloqueado y no me funciona,7,1,0,1,-1.1122230773375148
Bien,No es precisa del todo,5,1,0,1,-1.2754114957137634
Bastante bien,"Muy útil, pero hay …",22,1,0,1,-1.2860092681818858
Muy buena idea,Aun faltan muchos,13,1,0,1,-1.455639534574406
No remata...,En que se basa?...no termina de cuadrarme...,7,0,0,1,-1.4794328016280442
Note 3,Esta bien la aplicación pero se nota k....sin mas comentarios.,18,0,0,1,-1.4983055361035678
Es buena,No me deja,4,1,0,1,-1.780889062388097
Ya funciona,Errores corregidos.,2,1,0,1,-2.276469027404202
Sobre permisos,"Permisos a tus fotos, llamadas, conexiones wifi, etc. No nos damos cuenta pero con toda la info. que compartimos con estas apk. Nos pueden quitar nuestra intimidad. Apk borrada.",29,1,1,1,0.1076714179024391
identificacion de user,Estaría bien que cada. Cuando tienes más de una no pone a cual corresponde y,30,0,1,2,-0.0626158036127862
Fantastica,Aunque todo es mejorable le doy estrellas por su enorme utilidad…,63,1,1,2,-0.0632821422791839
